id,ra,dec,redshift,redshiftError,class,run,camcol,field
1614638649045968896,160.67456,45.423168,0.0003030087,1.241562E-05,STAR,3698,5,57
3668296602520494080,160.29311,45.719715,-0.0004248454,2.879832E-05,STAR,3698,6,56
5280630361997967360,160.47308,45.328878,0.7067826,0.0002534711,GALAXY,3698,5,56
1611329392900859904,160.58579,45.437372,0.6888001,0.000122593,QSO,3698,5,57
1614632051976202240,160.78051,45.951483,0.1755787,3.957542E-05,GALAXY,3698,6,59
1614635350511085568,160.85916,45.511564,0.02898308,1.467769E-05,GALAXY,3698,5,58
1611331317046208512,160.48855,45.300056,0.1942638,2.938766E-05,GALAXY,3698,5,56
3668305123735609344,160.50851,45.441628,5.446176E-05,1.525602E-05,STAR,3698,5,56
3668308147392585728,160.47871,45.706547,-0.0005814601,3.108221E-05,STAR,3698,6,57
5280657300032847872,160.84624,45.038438,0.4348819,0.0001202153,GALAXY,3698,4,57
1611330492412487680,160.74826,45.480434,0.08766753,2.219634E-05,GALAXY,3698,5,58
1614635075633178624,160.83702,45.426107,0.4080887,9.316942E-05,GALAXY,3698,5,58
2890350332599101440,160.06779,45.229627,-0.0004591482,4.084195E-05,STAR,3698,5,54
5280630636875874304,160.47999,45.236727,-0.0002949414,2.497512E-05,STAR,3698,5,56
1611317573150861312,160.00951,45.627631,0.05125874,1.046649E-05,GALAXY,3698,6,55
1614631777098295296,160.91185,45.986202,1.643675,0.0003039317,QSO,3698,6,59
3668308422270492672,160.41125,45.705555,0.000140273,2.090472E-05,STAR,3698,6,57
3668304573979795456,160.84793,45.459522,-0.0003046671,1.143721E-05,STAR,3698,5,58
1614631502220388352,160.63689,45.812449,0.1618652,2.224228E-05,GALAXY,3698,6,58
1611320596807837696,160.2165,45.670197,0.3396902,9.055754E-05,GALAXY,3698,6,56
3668307047880957952,160.94882,45.239048,-0.0001689974,1.157807E-05,STAR,3530,4,275
3668294403497238528,160.24362,45.604862,-0.0008552527,1.089026E-05,STAR,3530,5,273
3668285057648402432,160.0705,45.002911,-6.849789E-05,6.146497E-06,STAR,3530,4,271
2890352531622356992,160.07993,45.127899,0.0003450433,2.132366E-05,STAR,3530,4,271
3668292479351889920,160.17513,45.492218,1.475658,0.000238244,QSO,3530,5,273
5281870061324730368,160.21583,45.01134,0.4944053,0.0001509335,GALAXY,3530,4,272
3668281484235612160,160.03296,45.017982,-0.0001851452,2.113483E-05,STAR,3530,4,271
5280633110777036800,160.29923,45.008852,0.6048281,0.0001728034,GALAXY,3530,4,272
1614634250999457792,160.61951,45.678377,0.09760489,2.718758E-05,GALAXY,3530,5,275
3668306773003051008,160.53552,45.201786,-0.0007008883,1.268363E-05,STAR,3530,4,274
1611334065825277952,160.99801,45.30086,0.09970155,2.640672E-05,GALAXY,3530,4,276
3668325464700723200,160.84535,45.699837,0.0002302099,2.16891E-05,STAR,3530,5,276
3668294953253052416,160.20667,45.502724,-0.0003846477,8.737409E-06,STAR,3530,5,273
1611318122906675200,160.07245,45.42465,0.08913819,7.42517E-06,GALAXY,3530,5,272
1611323070709000192,160.10872,45.086561,0.1599726,1.880572E-05,GALAXY,3530,4,271
1614639473679689728,160.5589,45.490668,-0.0001549378,1.036018E-05,STAR,3530,5,274
5280643556137500672,160.80021,45.157691,0.5177576,0.0001411109,GALAXY,3530,4,275
3668294678375145472,160.33063,45.597675,0.000186442,7.341545E-06,STAR,3530,5,273
1614637274656434176,160.45773,45.439673,0.05399054,1.449357E-05,GALAXY,3698,5,56
5280641357114245120,160.75358,45.433474,0.7084752,0.0003059841,GALAXY,3698,5,58
1611320321929930752,160.12243,45.274827,0.1364569,3.008243E-05,GALAXY,3698,5,54
5280642731503779840,160.55777,45.324468,2.540371,0.0006537305,QSO,3698,5,56
3668303474468167680,160.86171,45.404594,0.0003184652,1.49134E-05,STAR,3698,5,58
5280654551253778432,160.90176,45.349607,0.65876,0.0001592601,GALAXY,3698,5,58
1611313724860164096,160.011,45.185931,0.1280117,5.461082E-06,GALAXY,3698,5,54
5280620191515410432,160.12096,45.190527,-0.0004816364,9.824827E-05,STAR,3698,5,54
1611328843145046016,160.27283,45.957753,0.07293759,1.651049E-05,GALAXY,3059,1,40
1611317298272954368,160.00211,45.895848,0.08929551,1.504365E-05,GALAXY,3059,1,39
1611328018511325184,160.90436,45.60627,0.1399364,2.807379E-05,QSO,3530,5,276
5280631186631688192,160.35612,45.129296,-9.86064E-05,1.346911E-05,STAR,3530,4,273
1614637549534341120,160.48298,45.508492,0.4569407,0.0001199203,GALAXY,3530,5,274
3668283683258867712,160.05313,45.456356,-0.0008250705,7.950009E-06,STAR,3530,5,272
2879092982781339648,160.11868,45.136507,-0.0006325711,1.308074E-05,STAR,3530,4,272
3668282858625146880,160.05321,45.472282,-0.0001201736,7.43085E-06,STAR,3530,5,272
3668304848857702400,160.48961,45.560299,0.0001125995,1.032529E-05,STAR,3530,5,274
1611322246075279360,160.05074,45.506212,0.07335613,1.119129E-05,GALAXY,3530,5,272
1611331866802022400,160.24906,45.7978,0.4970951,0.0001472484,GALAXY,3698,6,56
1614639198801782784,160.29875,45.365264,0.1323548,2.073913E-05,GALAXY,3698,5,55
1611323345586907136,160.07429,45.16288,-0.000353505,1.184807E-05,STAR,3698,5,54
2890354455767705600,160.1839,45.190014,0.0006222565,1.569886E-05,STAR,3698,5,55
3668292204473982976,160.19009,45.685192,0.0005994919,2.21091E-05,STAR,3698,6,56
5281859615964266496,160.00624,45.26089,0.506152,0.0002703945,GALAXY,3698,5,54
3668283958136774656,160.02477,45.676086,-0.0003344159,7.710182E-06,STAR,3698,6,55
1614633426365736960,160.76091,45.943855,0.06324803,7.094796E-06,GALAXY,3698,6,59
1611328568267139072,160.63284,45.736134,0.3249516,6.517659E-05,GALAXY,3698,6,58
1611331042168301568,160.48043,45.235624,0.3804798,6.736956E-05,GALAXY,3698,5,56
3668293303985610752,160.32562,45.652348,-0.000769321,2.943413E-05,STAR,3698,6,56
1611320047052023808,160.04662,45.357234,0.5464086,7.808579E-05,QSO,3698,5,54
